wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
1201.0,1.000000000,0.060889799,0.003163910,0.000054900
1202.0,1.000000000,0.060842302,0.003160040,0.000054760
1203.0,1.000000000,0.060766499,0.003156500,0.000054610
1204.0,1.000000000,0.060763601,0.003153150,0.000054440
1205.0,1.000000000,0.060712598,0.003147820,0.000054270
1206.0,1.000000000,0.060761500,0.003149120,0.000054190
1207.0,1.000000000,0.060670700,0.003142830,0.000054160
1208.0,1.000000000,0.060601201,0.003136900,0.000054060
1209.0,1.000000000,0.060644101,0.003136190,0.000053840
1210.0,1.000000000,0.060596600,0.003132000,0.000053810
1211.0,1.000000000,0.060555201,0.003131280,0.000053780
1212.0,1.000000000,0.060572300,0.003130770,0.000053670
1213.0,1.000000000,0.060522199,0.003123980,0.000053570
1214.0,1.000000000,0.060515299,0.003121110,0.000053540
1215.0,1.000000000,0.060464300,0.003119650,0.000053400
1216.0,1.000000000,0.060490198,0.003120340,0.000053430
1217.0,1.000000000,0.060489599,0.003117920,0.000053230
1218.0,1.000000000,0.060369700,0.003111560,0.000053170
1219.0,1.000000000,0.060404200,0.003113260,0.000053180
1220.0,1.000000000,0.060419600,0.003111980,0.000053170
1221.0,1.000000000,0.060357500,0.003107610,0.000053090
1222.0,1.000000000,0.060382199,0.003110460,0.000053070
1223.0,1.000000000,0.060421299,0.003109480,0.000053080
1224.0,1.000000000,0.060344700,0.003105180,0.000052990
1225.0,1.000000000,0.060330100,0.003105100,0.000053100
1226.0,1.000000000,0.060421899,0.003108180,0.000053160
1227.0,1.000000000,0.060387101,0.003106780,0.000053110
1228.0,1.000000000,0.060369000,0.003105600,0.000053000
1229.0,1.000000000,0.060347199,0.003104330,0.000052930
1230.0,1.000000000,0.060347501,0.003104400,0.000052860
1231.0,1.000000000,0.060346600,0.003102980,0.000052920
1232.0,1.000000000,0.060333099,0.003100880,0.000052900
1233.0,1.000000000,0.060373899,0.003104600,0.000053030
1234.0,1.000000000,0.060338199,0.003102690,0.000052960
1235.0,1.000000000,0.060314700,0.003101560,0.000052930
1236.0,1.000000000,0.060314000,0.003102050,0.000052900
1237.0,1.000000000,0.060373701,0.003104960,0.000053020
1238.0,1.000000000,0.060374301,0.003104650,0.000053050
1239.0,1.000000000,0.060396802,0.003105040,0.000052930
1240.0,1.000000000,0.060371600,0.003107100,0.000052920
1241.0,1.000000000,0.060345501,0.003105130,0.000053010
1242.0,1.000000000,0.060358800,0.003104130,0.000052980
1243.0,1.000000000,0.060363200,0.003104700,0.000052970
1244.0,1.000000000,0.060373101,0.003106230,0.000052940
1245.0,1.000000000,0.060392901,0.003107620,0.000052970
1246.0,1.000000000,0.060372900,0.003105910,0.000052910
1247.0,1.000000000,0.060382102,0.003103290,0.000052910
1248.0,1.000000000,0.060399301,0.003105970,0.000052920
1249.0,1.000000000,0.060400899,0.003107790,0.000052980
1250.0,1.000000000,0.060416501,0.003110070,0.000052950
1251.0,1.000000000,0.060463700,0.003113980,0.000053050
1252.0,1.000000000,0.060458001,0.003113250,0.000053090
